Entry,Interacts with
O43918,O43918; Q9UER7; P68431; P16333; P78527
P06744,Q96BW9
Q9UPZ9,P08238; Q9NRG4
Q12800,P09110; P54922; Q8TDY4; P46379; Q9NVV2; P00915; A0A0S2Z3E6; P20807-2; Q9HC52; Q6P1J9; Q9NZQ0; Q9UF47; Q9BZG8; A0AVK6; Q96JC9; Q8N5A0; Q5JZY3-3; Q92731-3; Q9NW38; O95363; Q96D16; O95872; Q9GZV7; Q5VVH5; Q70IA8; Q9UBU8; Q9UBU8-2; Q9Y3B7; Q9NQ50; Q96AH0; Q5HYW2; Q8NDH3-4; O43189; A0A0S2Z615; Q9BSJ6; O00562; Q9NQ66; Q9UGP5-2; Q9BT43; Q13427; Q9UD71; Q96LZ3; Q16401; P29558; P28702-3; O00560; A0MZ66-7; Q93045; P63165; Q15560; Q9BXT4-2; Q9UKI8; Q53QD4; O95859; P63279; Q9BW85; Q8TBK6; Q6PEW1
P60709,P60709; P63261; P05067; P40123; Q16543; P23528; Q549N0; Q9Y281; P13569; P60981; Q8WTR2; Q08426; P50402; P04626; Q8TCJ0-2; P11142; P83110; P42858; O14950; P14598; P29474; Q92636; Q96HA8; P07737; P78317; P37802; Q9BSI4; P13693; Q7KZS0; Q9UBQ0-2; P63104; P08413; Q8K4J6
Q99259,Q6RW13; Q6RW13-2; Q96DZ9; Q96DZ9-2; P46952; Q969L2; P16333; Q13188
A0A0S2Z4D9,Q6RW13-2; Q96DZ9-2; Q15323; Q6A162; Q9BYR7; Q969L2; P36406; Q15654
P25440,P62805; Q13761
Q15762,Q15762; Q92692; P15151; Q495A1
P02778,P51671; Q99616; O00585; Q9Y258; Q9NRJ3; P13501; P48061; Q07325; P27487; P02776
P21579,Q12982; Q8WVV5; O00305-2; Q8N6G5; O43169; Q96F15; P30519; Q9Y6K9; P30301; Q9H115; Q9P0S9; Q8TBM7; Q9H2L4; P16473; Q9Y5Z9; O95159
Q8N1L9,P49715; P53567; Q15038; P35638; O75593; Q12951-2; Q9Y4H4; P49639; P05412; P17275; O76011; Q9ULX9; Q13064; Q96I34; O75360; Q99932-2; O95231; Q9BYJ9; P05412
O15439,Q00013
Q9Y3Z3,Q08380; Q9Y3Z3; P58753
Q9Y2S7,Q6RW13-2; P13196; Q9Y6H1; Q9NQM4; Q5JR59
Q96AG4,Q6RW13-2; P29972; Q96MX0; Q96DZ9-2; O95406; Q15125; P56851; Q9ULP0-2; Q5VZY2; Q6UX34; P55061; Q9H0R3; Q9H2L4; Q5BJF2; Q8N609; Q5TGU0
P08183,Q86VI4; Q99496
P25445,P62158; Q14790; Q03135; Q9UER7; Q13158; P25445; P48023; P29590; Q15156; Q12923; P12931; P12815; Q14790; Q03135; Q13158; P07947
P49327,Q15848; P42858; Q8IV20; Q8TBB1; PRO_0000045603 [Q99IB8]
P02741,P08603; P08603-1; P08603-2; PRO_0000005894 [P08603]; Q03591; Q02985; Q92496-1; Q92496-3; PRO_0000005900 [Q9BXR6]; Q5KU26; P02741; P31995; O00602; Q96IJ6; P02769; P04003; P08603; P27918
Q9Y4B6,Q16531; O95835; Q9NRM7; A0A0H3LAC5; P12520; P18045; P19508; Q16531; P60891; P05928
P14317,Q9H788; P78314-3; P54274; O43516
Q13084,Q9NYB9-2; Q8N9N5; Q96GN5; Q01850; Q9H0I2; Q8IZU0; Q6NT76; Q9UKT9; Q659C4-6; Q96BZ8; Q8NI38; O60437; Q9BWG6; Q10587; O43734; Q9BUZ4; Q63HK5; Q96PN8; O95045-2; O75604; A0A024R8A9; Q8N720
P01137,Q6UY14-3; P05067; Q8NEC5; A8MQ03; Q14689; P17813; A0A0C3SFZ9; Q12841; P49639; Q07627; Q8IUG1; P60410; Q9BYQ6; Q5T7P2; Q5T751; Q5T752; O14633; Q5TA81; Q5TA76; Q5TA77; Q9BYE3; O60711; Q14392; Q14766-1; P50222; P07237; Q12837; P11464; P01137; P36897; P37173; Q03167; P07996; Q90998; P11464
Q86UE4,Q9UKV8; Q92793; Q7KZF4
P01570,Q6FHY5
